Entity,Code,Year,GDP
World,OWID_WRL,1,247963000000
World,OWID_WRL,1000,285147000000
World,OWID_WRL,1500,584186000000
World,OWID_WRL,1600,779501000000
World,OWID_WRL,1700,872930000000
World,OWID_WRL,1820,1631491000000
World,OWID_WRL,1850,2147368000000
World,OWID_WRL,1870,2725427000000
World,OWID_WRL,1900,4864439000000
World,OWID_WRL,1920,6698807000000
World,OWID_WRL,1940,10616702000000
World,OWID_WRL,1950,11747753000000
World,OWID_WRL,1960,18518167000000
World,OWID_WRL,1970,30463493000000
World,OWID_WRL,1980,44403660000000
World,OWID_WRL,1990,59746506695070
World,OWID_WRL,1991,60258490453632
World,OWID_WRL,1992,61053199066222
World,OWID_WRL,1993,61978794358266
World,OWID_WRL,1994,63652014872827
World,OWID_WRL,1995,65638271921048
World,OWID_WRL,1996,68072956904075
World,OWID_WRL,1997,70778368389422
World,OWID_WRL,1998,72514571649883
World,OWID_WRL,1999,75129460995882
World,OWID_WRL,2000,78748266091431
World,OWID_WRL,2001,80651158295442
World,OWID_WRL,2002,82913446416270
World,OWID_WRL,2003,85953247177966
World,OWID_WRL,2004,90382276783125
World,OWID_WRL,2005,94536020338348
World,OWID_WRL,2006,99458127988160
World,OWID_WRL,2007,104664529164621
World,OWID_WRL,2008,107616102342597
World,OWID_WRL,2009,106900393523163
World,OWID_WRL,2010,112369774826691
World,OWID_WRL,2011,116779323374085
World,OWID_WRL,2012,120457639815694
World,OWID_WRL,2013,124396248689855
World,OWID_WRL,2014,128707260097480
World,OWID_WRL,2015,132979475190066
World,OWID_WRL,2016,137269733552341
World,OWID_WRL,2017,142488808750999
World,OWID_WRL,2018,147685397273162
World,OWID_WRL,2019,152051967520231
World,OWID_WRL,2020,147750738921631
World,OWID_WRL,2021,157405903630916
World,OWID_WRL,2022,163140044693829
World,OWID_WRL,2023,168473707388178
World,OWID_WRL,2024,174159721560705
World,OWID_WRL,2025,180028791385506
